Product Title,Cost,7 Day Sale,Total Sale,Review,Favorite,Cost_Group,Favorite_Group,Review_Group
Round pearls silver dots 8 mm several colors,0.56,0,0.0,0,0,0,0,0
"Christmas Light Bulb Silhouette in Black Solid and Outline -Change Color Yourself -Digital Download Format SVG, PNG ,ESP, Holiday Clipart",0.5,0,1.0,0,0,0,0,0
Quote:,0.5,0,1.0,0,0,0,0,0
"Cookies for Santa SVG DXF, christmas svg, winter svg, christmas cut file, holiday svg, santa's cookies, Cut File svg, cricut, silhouette",1.75,0,1.0,0,0,0,0,0
Cat cats Pet SVG PNG peering black cat paws tail animal vectors Background File Clipart Vector silhouette Patterned cricut cut File business,1.88,0,0.0,0,0,0,0,0
Fish on Twig Wooden Button 1.5,1.75,0,1.0,0,0,0,0,0
Bruynzeel 48 Design Colored Pencil DIY Swatch Book Style 2,1.35,0,0.0,0,0,0,0,0
Happy Fall SVG - Fall Quote SVG File for Cricut - Fall Outdoor Decor - Digital Download,1.0,0,1.0,0,0,0,0,0
Green Strawberry Quartz Cabochon Gemstone Oval Shape Strawberry Gemstone Ring Size Strawberry Quartz Loose Gemstone Wholesale Lot,1.57,0,2.0,0,0,0,0,0
Ghost Plastic Canvas Cut Outs Plastic Canvas Halloween Ghost for Needlepoint,1.25,0,3.0,0,2,0,0,0
"Retro Coffee Svg Bundle, Coffee SVG Bundle, Coffee mug Svg, Caffeine Queen Svg, Coffee Lovers Svg, Coffee Obsessed Svg, Cut File Cricut Svg",1.65,46,76.0,0,0,0,0,0
"Choose To Shine SVG, Shine svg, choose to shine t-shirt svg, spring svg, inspirational svg, motivational svg, Cricut, Silhouette, Printable",1.9,0,1.0,0,0,0,0,0
"The Mandalorian SVG, PNG, PDF, Mandalorian Instant Digital Download, Mandalorian Image File, The Child svg, This Is The Way",1.99,0,1.0,0,0,0,0,0
SALE 12.5,1.18,53,192.0,0,0,0,0,0
"Polyester cord tricolor blue white red cotton 3mm in diameter, sold by the meter",0.46,0,1.0,0,0,0,0,0
Stressed Blessed And Football Obsessed SVG | Stressed Blessed SVG | Football Obsessed SVG | Stressed Svg | Blessed Svg | Obsessed Svg,1.42,0,0.0,0,2,0,0,0
"Christmas Light bulb Outline Silhouette Png, Xmas Light bulb Png, Christmas Lights Png, sublimation, Cricut Friendly, Digital download png.",1.17,1,34.0,0,2,0,0,0
"100 Days with My Tribe svg, 100 Days of School svg, 100th Day svg, Hundred Days svg, 100 svg, Tribal, SVG Dxf Eps Ai Png Silhouette Cricut",1.3,0,0.0,0,2,0,0,0
"Funny wine SVG Cut File, liquid therapy svg, instant download, printable vector clip art, wine lover graphic, alcohol",1.99,0,5.0,0,2,0,0,0
"Wooden beehive,  various sizes, for crafts , decoration, natural wood",1.72,0,3.0,0,4,0,0,0
"Besties T-Shirt SVG, Best Friends Clipart, Bestest Friend SVG, Digital File Download",1.4,0,1.0,0,2,0,0,0
onesie everyday i'm snugglin' svg png file,1.2,0,0.0,0,4,0,0,0
